asin,units_30d,CES,Ensemble,LSTM,LightGBM,MA7,NGBoost,NHITS,PatchTST,SeasonalNaive,XGBoost
B08CHN278L,162,83.92553780972958,106.13582424626446,109.7677705,110.89902045918774,94.28571428571428,113.4147587323845,119.66274299999999,108.8316166,96.0,96.44932174682617
B08CNNXWHF,311,211.46148584783077,247.80294069459035,196.8208488,253.93458814470858,257.1428571428571,251.7232105346626,292.561276,287.334255,263.0,240.78492259979248
B08CNP7NS1,369,296.3767374129966,311.96257978743324,200.4672967,311.80220135946485,308.5714285714286,360.0229463959129,351.3412415,359.526166,308.0,304.2014727592468
B08CP7GRV6,141,170.02026204764843,153.97818696691903,75.72478532,172.67743389167055,171.42857142857144,142.20341484251145,189.1888288,173.3068192,171.0,154.72576522827148
B08CP98GGJ,505,187.2765681128949,240.68117316833718,226.6574449,242.71996570289576,218.57142857142856,230.68328610487922,242.3254146,286.7153886,223.0,268.39014625549316
B08CY81R5Y,120,64.72947576642036,105.37930673037881,163.7453959,88.51256530627742,98.57142857142857,94.66217680354183,218.3287377,42.80637594,105.0,64.87042081356049
B08CY8F4K1,162,12.722623944282532,76.60010722633986,279.7237284,37.3714566110489,30.0,38.074828512552855,68.96834178,61.2057992,30.0,38.133970499038696
B08D3W9S6R,19,5.014687554561532,14.357175207531823,23.99872452,31.427675023944367,4.285714285714284,23.302539346595594,5.095505364,4.4166490629999995,5.0,7.244445487856864
B08D3XLQJF,22,23.053737193346024,22.00660870444562,35.57584304,33.166979608249,12.857142857142854,28.085775296602318,12.94973224,11.432041186,12.0,9.782152265310287
B08D3XMDFX,147,124.71778051182628,92.39404750472984,119.9451193,61.444321872787434,47.14285714285714,88.47024798315854,171.1738011,37.76421936,48.0,43.24284303188324
B08D3Y41RF,20,1.8529357016086576,11.792045575163625,33.0592387,28.08547797018614,0.0,7.747910499900355,2.540700433,2.7003209530000003,0.0,6.557734787464141
B08G1YSG7V,972,407.189096480608,981.9976236088175,819.615381,2282.1541194876336,690.0,796.7651283126459,878.4882259999999,497.414583,711.0,1192.3568325042725
B08G1YY8H7,931,1075.475817978382,1200.2743764584836,726.441183,1271.2523827463433,895.7142857142858,1329.962736303507,2221.761617,991.089147,899.0,785.9377365112305
B08G1ZB4ZZ,268,97.43810665607452,265.73599003749,569.5853805,248.71639832409448,222.85714285714286,229.08100005414204,314.327778,181.04341619,225.0,219.95985174179077
B08G1ZTJN3,80,39.135500934906304,61.652638667833486,34.93121481,83.02171403643702,34.285714285714285,91.03239892534627,50.7622391,81.8230642,33.0,50.86233973503113
B08G8WZT5H,0,68.147949911654,19.9941892397638,19.47199482,26.86967544555132,0.0,7.764776835908916,3.73180677,8.690600833,0.0,5.282519981265067
B08G8X3P92,9,5.183859407901764,15.329613624703317,30.32770336,28.717685556348158,12.857142857142854,8.537812098765386,26.04016325,2.10292103,13.0,6.39715078473091
B08G8Y9492,4,2.2857171297073364,8.535668530525875,7.09117399,26.851006756022176,0.0,7.895267565489005,6.317733636,3.92842504,0.0,5.3803555965423575
B08HN49CGB,146,26.809109315276146,68.95435015872926,99.676852,88.67112848193175,98.57142857142857,111.92452538092874,39.71961701,24.88152693,103.0,90.99769258499146
B08HPD4N7D,172,68.9164627417922,82.47707894142066,129.8841776,86.01500329202833,81.42857142857143,94.07607247226179,103.824594,36.588009845,87.0,58.03523254394531
B08HPT1516,160,19.819011584855616,51.10755003033851,109.3853761,63.518832595444614,81.42857142857143,59.22603868492427,26.10277073,22.729929509999998,85.0,56.97089111804962
B08HR63BDQ,9,0.2454919543233695,12.847485920088452,37.43530852,27.56120073807495,4.285714285714284,7.255664025067733,5.617424481,5.6711020283,4.0,6.146209731698035
B08J197RQ6,19,23.156961508095264,27.233459505691247,15.93468974,34.118621557202104,17.142857142857142,28.914427236748384,30.15031116,22.97118457,16.0,35.38802087306976
B08JQK45C3,14,1.8932742197066534,11.046084587405332,16.35417431,27.471357714352028,4.285714285714284,7.255664025067733,11.724106768,6.47780528,4.0,6.146209731698035
B08JQK6H5N,30,28.948800712823868,27.617439022362326,65.8343411,29.68649045119095,25.71428571428571,27.480330040064032,21.51463805,11.28958473,28.0,8.567888319492338
B08JQKJJC8,237,12.023849129676819,84.04761940667053,228.499335,61.16640898708652,68.57142857142857,59.8264234053988,132.0848879,33.232181538,71.0,61.50024998188019
B08JQL5L94,535,270.4576819874346,376.71006065477616,358.6309158,393.12045949679987,334.2857142857143,397.5809546880964,447.2082295,340.66992270000003,343.0,429.3022623062134
B08JQLTHYF,23,3.841681107878685,20.188357999761234,53.2016759,29.51795523682906,8.571428571428571,27.118809911289375,12.46445467,7.22722526,8.0,7.946703895926475
B08JQLZ8WW,834,225.09825855493546,402.21024095149073,704.597554,337.0372962785824,342.8571428571429,362.1430986085336,584.199255,271.49169009999997,349.0,330.9045352935791
B08JQM7V2K,45,23.50075728073716,44.26159977116264,67.3810933,56.76975136669302,60.0,56.68608850578185,51.4328262,14.071680099999998,62.0,39.989002108573914
B08JQMMX4D,22,1.1983153373003004,13.618610882418919,41.8139856,26.875566876600473,0.0,7.025956892900364,7.204579821,5.45981407,0.0,5.752057582139968
B08JQMXQ8N,1055,774.0225727260113,1827.7124244986264,833.044207,2622.4415885074736,715.7142857142858,3266.688186920109,1182.056115,707.069084,736.0,3408.6652221679688
B08JQN6LBK,22,1.7721028625965118,17.520738773172837,49.2474109,27.21359502792588,4.285714285714284,7.200684933044401,25.2264436295,5.85627696,4.0,6.128657057881354
B08JVFYQK1,106,78.06756606698036,72.58540581030985,111.2192204,60.732338168504384,47.14285714285714,59.029178258926905,121.52577769999999,28.773582546,45.0,48.75017774105072
B08K3LGXSM,397,232.69819368235767,300.09547551439385,338.3538019,277.1712811494377,295.7142857142857,268.69081772770176,401.303482,256.2873863,306.0,326.163369178772
B08K3LRL3Z,64,29.97359938174486,76.03487414870516,170.9644897,63.076727439893055,72.85714285714285,59.32834493650706,124.7037817,23.43906994,75.0,60.75810647010803
B08KGNGQNY,38,1.3477500677108762,45.19609525173125,156.6115468,35.50358587743288,12.857142857142854,31.67933513068234,60.256370257,20.844415400000003,15.0,10.12966200709343
B08KL3J235,83,8.946691416203976,39.43707113755304,64.3149712,54.49286219893099,47.14285714285714,55.68753732621378,42.9985052,12.18238022,47.0,37.436550974845886
B08KPMVBNY,192,83.09963833168149,69.84997300226306,139.2043989,58.05336367664637,47.14285714285714,57.40654497324231,95.0981006,17.002548293,51.0,39.08521604537964
B08KPP4K64,106,3.2470570951700206,28.77740307011865,87.3932756,34.42460094403871,34.285714285714285,32.959660982082156,28.79639671,4.128996777999999,38.0,10.49183315038681
B08KPPC3VS,57,42.18475989252329,52.73392547648764,64.4966003,54.73925186580082,30.0,55.52122610048108,101.4409613,13.85203319,30.0,36.9026460647583
B08L47FXJ2,36,40.43078560754657,50.48507917020199,48.2876433,54.96182153401515,25.71428571428571,55.94339664530361,97.3997377,19.05569335,24.0,37.316476225852966
B08L48P41T,68,6.014270182698965,27.37996911398248,87.3330468,33.01391557570232,21.42857142857143,28.35067365965049,21.49288115,5.9510551,24.0,9.503941118717194
B08LF2KNDF,9,9.825276240706444,33.33696188999695,135.1373783,27.796548895277844,0.0,8.726176635330425,21.15379131,23.07755289,0.0,7.6420085430145255
B08LP2PKH2,0,1.4309373386204234,5.916539608917125,0.0,26.868346022319784,0.0,7.6479384017965355,0.186035518,0.0,0.0,5.282519981265067
B08LX7SYK4,407,99.71158382296562,251.1912886524517,483.807968,224.36767307997366,167.14285714285714,218.29459185025777,288.36877,216.9844276,185.0,226.80400848388672
B08MLG24ZV,13,26.80600889818743,18.29380152687624,45.459632,26.717383471789173,0.0,7.025956892900364,11.560063816,4.79504117,0.0,5.692524582147597
B08MZ6RBRD,70,23.934198830276728,34.59994959294734,60.1884355,36.03925064052525,30.0,30.577484091114805,41.6434835,13.594042262,30.0,36.222752809524536
B08NRP2H1R,36,15.344131365418434,37.23054165879403,45.45854676,35.499810836275174,17.142857142857142,30.93678986053295,62.7563146,35.42547492,17.0,35.192723512649536
B08NY17QXS,5,10.064774602651596,16.828160712910204,17.16750056,32.69875953905778,12.857142857142854,27.69827751360097,5.2756078120000005,15.561883293000001,12.0,9.330321803689003
B08NY22RD4,19,25.022485245019197,42.50256933565204,11.54844701,54.52613062130663,25.71428571428571,55.66621656442284,61.05963,52.629844399999996,25.0,37.06523144245148
B08NY39NVG,205,205.327028747648,176.99203818433296,101.70079940000001,203.60535561813222,227.14285714285714,185.46043362569173,152.3840301,204.1778192,229.0,186.2888011932373
B08PXNTP2X,12,1.959005611948668,11.104190705562699,25.8388727,26.875566876600473,0.0,7.025956892900364,1.4951281554,8.782746993,0.0,5.752057582139968
